,Link,route_length,base_route
221,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/69,6,https://rmrj.usjr.edu.ph/
222,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/70,6,https://rmrj.usjr.edu.ph/
223,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/704,6,https://rmrj.usjr.edu.ph/
224,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/71,6,https://rmrj.usjr.edu.ph/
225,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/714,6,https://rmrj.usjr.edu.ph/
226,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/72,6,https://rmrj.usjr.edu.ph/
227,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/73,6,https://rmrj.usjr.edu.ph/
228,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/733,6,https://rmrj.usjr.edu.ph/
229,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/74,6,https://rmrj.usjr.edu.ph/
230,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/748,6,https://rmrj.usjr.edu.ph/
231,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/75,6,https://rmrj.usjr.edu.ph/
232,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/76,6,https://rmrj.usjr.edu.ph/
233,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/760,6,https://rmrj.usjr.edu.ph/
